Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-12-14,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,165.44
2021-12-15,1,1,1.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.15
2021-12-16,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,168.16
2021-12-17,-1,-1,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,167.8
2021-12-20,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,167.09
2021-12-21,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,167.02
2021-12-22,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,168.59
2021-12-23,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,168.97
2021-12-27,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,169.37
2021-12-28,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,168.64
2021-12-29,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,168.59
2021-12-30,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,169.8
2021-12-31,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,170.96
